error_number,current_index,next_index,current_byte_offset,next_byte_offset,counter_current,counter_next,counter_delta,counter_missing_samples,lfsr_current,lfsr_expected_next,lfsr_received,lfsr_steps_to_received,lfsr_missing_samples,next_sample_at_4096_boundary
1,127,128,0x00000FE0,0x00001000,6846,6849,3,2,0xA172B474,0x42E568E8,0x0B95A3A3,3,2,True
2,255,256,0x00001FE0,0x00002000,6976,6979,3,2,0xB3CEB471,0x679D68E2,0x9E75A38B,3,2,True
3,383,384,0x00002FE0,0x00003000,7106,7109,3,2,0x7E4C33C2,0xFC986785,0xF2619E16,3,2,True
4,511,512,0x00003FE0,0x00004000,7236,7239,3,2,0x4A8BDBFA,0x9517B7F4,0x545EDFD0,3,2,True
5,639,640,0x00004FE0,0x00005000,7366,7369,3,2,0x775083B9,0xEEA10772,0xBA841DC8,3,2,True
6,767,768,0x00005FE0,0x00006000,7496,7499,3,2,0x4291152C,0x85222A59,0x1488A964,3,2,True
7,895,896,0x00006FE0,0x00007000,7626,7629,3,2,0x271EDE68,0x4E3DBCD1,0x38F6F347,3,2,True
8,1023,1024,0x00007FE0,0x00008000,7756,7759,3,2,0x8768447F,0x0ED088FF,0x3B4223FE,3,2,True
9,1151,1152,0x00008FE0,0x00009000,7886,7889,3,2,0x1CC08DA6,0x39811B4C,0xE6046D30,3,2,True
10,1279,1280,0x00009FE0,0x0000A000,8016,8019,3,2,0x8A33DB87,0x1467B70E,0x519EDC38,3,2,True
11,1407,1408,0x0000AFE0,0x0000B000,8146,8149,3,2,0xDF16BB6A,0xBE2D76D5,0xF8B5DB54,3,2,True
12,1535,1536,0x0000BFE0,0x0000C000,8276,8279,3,2,0xF3382735,0xE6704E6A,0x99C139A9,3,2,True
13,1663,1664,0x0000CFE0,0x0000D000,8406,8409,3,2,0x09212463,0x124248C7,0x4909231F,3,2,True
14,1791,1792,0x0000DFE0,0x0000E000,8536,8539,3,2,0xF2979E70,0xE52F3CE1,0x94BCF387,3,2,True
15,1919,1920,0x0000EFE0,0x0000F000,8666,8669,3,2,0xE76004E1,0xCEC009C2,0x3B002708,3,2,True
16,2047,2048,0x0000FFE0,0x00010000,8796,8799,3,2,0x4C905767,0x9920AECF,0x6482BB3F,3,2,True
17,2175,2176,0x00010FE0,0x00011000,8926,8929,3,2,0x77864F4D,0xEF0C9E9B,0xBC327A6F,3,2,True
18,2303,2304,0x00011FE0,0x00012000,9056,9059,3,2,0x29B5115D,0x536A22BA,0x4DA88AE8,3,2,True
19,2431,2432,0x00012FE0,0x00013000,9186,9189,3,2,0x1DC95AF5,0x3B92B5EA,0xEE4AD7AA,3,2,True
