error_number,current_index,next_index,current_byte_offset,next_byte_offset,counter_current,counter_next,counter_delta,counter_missing_samples,lfsr_current,lfsr_expected_next,lfsr_received,lfsr_steps_to_received,lfsr_missing_samples,next_sample_at_4096_boundary
1,127,128,0x00000FE0,0x00001000,52528,52531,3,2,0xB7EB8882,0x6FD71104,0xBF5C4410,3,2,True
2,255,256,0x00001FE0,0x00002000,52658,52661,3,2,0xD0FEDAEA,0xA1FDB5D4,0x87F6D753,3,2,True
3,383,384,0x00002FE0,0x00003000,52788,52791,3,2,0x4053D85E,0x80A7B0BD,0x029EC2F6,3,2,True
4,511,512,0x00003FE0,0x00004000,52918,52921,3,2,0x04563C1F,0x08AC783E,0x22B1E0F8,3,2,True
5,639,640,0x00004FE0,0x00005000,53048,53051,3,2,0xA03848B9,0x40709172,0x01C245CB,3,2,True
6,767,768,0x00005FE0,0x00006000,53178,53181,3,2,0x1F9B75E5,0x3F36EBCB,0xFCDBAF2D,3,2,True
7,895,896,0x00006FE0,0x00007000,53308,53311,3,2,0x4B03947B,0x960728F7,0x581CA3DF,3,2,True
8,1023,1024,0x00007FE0,0x00008000,53438,53441,3,2,0xEBA39EBA,0xD7473D74,0x5D1CF5D1,3,2,True
9,1151,1152,0x00008FE0,0x00009000,53568,53571,3,2,0xE2882079,0xC51040F3,0x144103CE,3,2,True
10,1279,1280,0x00009FE0,0x0000A000,53698,53701,3,2,0xDA196B7C,0xB432D6F9,0xD0CB5BE4,3,2,True
11,1407,1408,0x0000AFE0,0x0000B000,53828,53831,3,2,0xF3D5A819,0xE7AB5033,0x9EAD40CF,3,2,True
12,1535,1536,0x0000BFE0,0x0000C000,53958,53961,3,2,0xDA2A192A,0xB4543255,0xD150C955,3,2,True
13,1663,1664,0x0000CFE0,0x0000D000,54088,54091,3,2,0x9D5E3B92,0x3ABC7725,0xEAF1DC97,3,2,True
14,1791,1792,0x0000DFE0,0x0000E000,54218,54221,3,2,0x69F434A1,0xD3E86943,0x4FA1A50E,3,2,True
15,1919,1920,0x0000EFE0,0x0000F000,54348,54351,3,2,0x3ED6DF3C,0x7DADBE79,0xF6B6F9E7,3,2,True
16,2047,2048,0x0000FFE0,0x00010000,54478,54481,3,2,0xF4285A81,0xE850B503,0xA142D40C,3,2,True
17,2175,2176,0x00010FE0,0x00011000,54608,54611,3,2,0x44561531,0x88AC2A63,0x22B0A98C,3,2,True
18,2303,2304,0x00011FE0,0x00012000,54738,54741,3,2,0xBE0E135D,0x7C1C26BA,0xF0709AE8,3,2,True
19,2431,2432,0x00012FE0,0x00013000,54868,54871,3,2,0xFF1F5C72,0xFE3EB8E5,0xF8FAE396,3,2,True
20,2559,2560,0x00013FE0,0x00014000,54998,55001,3,2,0x2041075A,0x40820EB4,0x02083AD0,3,2,True
21,2687,2688,0x00014FE0,0x00015000,55128,55131,3,2,0x322D0C1F,0x645A183F,0x916860FF,3,2,True
22,2815,2816,0x00015FE0,0x00016000,55258,55261,3,2,0x47A8948C,0x8F512919,0x3D44A465,3,2,True
23,2943,2944,0x00016FE0,0x00017000,55388,55391,3,2,0x576D6091,0xAEDAC122,0xBB6B048B,3,2,True
24,3071,3072,0x00017FE0,0x00018000,55518,55521,3,2,0xA474B978,0x48E972F0,0x23A5CBC3,3,2,True
25,3199,3200,0x00018FE0,0x00019000,55648,55651,3,2,0x81801DE6,0x03003BCD,0x0C00EF37,3,2,True
26,3327,3328,0x00019FE0,0x0001A000,55778,55781,3,2,0x601D13A6,0xC03A274D,0x00E89D36,3,2,True
27,3455,3456,0x0001AFE0,0x0001B000,55908,55911,3,2,0xBC403F3B,0x78807E77,0xE201F9DF,3,2,True
28,3583,3584,0x0001BFE0,0x0001C000,56038,56041,3,2,0xB19F52AF,0x633EA55F,0x8CFA957C,3,2,True
29,3711,3712,0x0001CFE0,0x0001D000,56168,56171,3,2,0x9A55BBEE,0x34AB77DC,0xD2ADDF72,3,2,True
30,3839,3840,0x0001DFE0,0x0001E000,56298,56301,3,2,0x87045B83,0x0E08B707,0x3822DC1D,3,2,True
