error_number,current_index,next_index,current_byte_offset,next_byte_offset,counter_current,counter_next,counter_delta,counter_missing_samples,lfsr_current,lfsr_expected_next,lfsr_received,lfsr_steps_to_received,lfsr_missing_samples,next_sample_at_4096_boundary
1,127,128,0x00000FE0,0x00001000,49928,49931,3,2,0xA586229B,0x4B0C4537,0x2C3114DF,3,2,True
2,255,256,0x00001FE0,0x00002000,50058,50061,3,2,0x572522AF,0xAE4A455E,0xB9291579,3,2,True
3,383,384,0x00002FE0,0x00003000,50188,50191,3,2,0x3EFC0EEC,0x7DF81DD9,0xF7E07766,3,2,True
4,511,512,0x00003FE0,0x00004000,50318,50321,3,2,0x7322BAB6,0xE645756C,0x9915D5B1,3,2,True
5,639,640,0x00004FE0,0x00005000,50448,50451,3,2,0x0364A98B,0x06C95317,0x1B254C5C,3,2,True
6,767,768,0x00005FE0,0x00006000,50578,50581,3,2,0x6530DD6E,0xCA61BADD,0x2986EB77,3,2,True
7,895,896,0x00006FE0,0x00007000,50708,50711,3,2,0x1403B178,0x280762F0,0xA01D8BC3,3,2,True
8,1023,1024,0x00007FE0,0x00008000,50838,50841,3,2,0x89253ACC,0x124A7599,0x4929D667,3,2,True
9,1151,1152,0x00008FE0,0x00009000,50968,50971,3,2,0x207A2E16,0x40F45C2C,0x03D170B1,3,2,True
10,1279,1280,0x00009FE0,0x0000A000,51098,51101,3,2,0x71907D6A,0xE320FAD4,0x8C83EB50,3,2,True
11,1407,1408,0x0000AFE0,0x0000B000,51228,51231,3,2,0x009A0400,0x01340801,0x04D02005,3,2,True
12,1535,1536,0x0000BFE0,0x0000C000,51358,51361,3,2,0xE416B706,0xC82D6E0D,0x20B5B834,3,2,True
13,1663,1664,0x0000CFE0,0x0000D000,51488,51491,3,2,0xAAADBED1,0x555B7DA3,0x556DF68F,3,2,True
14,1791,1792,0x0000DFE0,0x0000E000,51618,51621,3,2,0xF28AC200,0xE5158401,0x94561007,3,2,True
15,1919,1920,0x0000EFE0,0x0000F000,51748,51751,3,2,0x3E08A8CA,0x7C115194,0xF0454650,3,2,True
16,2047,2048,0x0000FFE0,0x00010000,51878,51881,3,2,0x513E98EC,0xA27D31D9,0x89F4C766,3,2,True
17,2175,2176,0x00010FE0,0x00011000,52008,52011,3,2,0x9DBE33AE,0x3B7C675C,0xEDF19D71,3,2,True
18,2303,2304,0x00011FE0,0x00012000,52138,52141,3,2,0xDD70CF64,0xBAE19EC8,0xEB867B22,3,2,True
19,2431,2432,0x00012FE0,0x00013000,52268,52271,3,2,0xF4E1CD77,0xE9C39AEE,0xA70E6BBB,3,2,True
