error_number,current_index,next_index,current_byte_offset,next_byte_offset,counter_current,counter_next,counter_delta,counter_missing_samples,lfsr_current,lfsr_expected_next,lfsr_received,lfsr_steps_to_received,lfsr_missing_samples,next_sample_at_4096_boundary
1,127,128,0x00000FE0,0x00001000,58402,58404,2,1,0x9617EBC9,0x2C2FD793,0x585FAF27,2,1,True
2,255,256,0x00001FE0,0x00002000,58531,58533,2,1,0x3850E657,0x70A1CCAF,0xE143995E,2,1,True
3,383,384,0x00002FE0,0x00003000,58660,58662,2,1,0x0B319FD3,0x16633FA6,0x2CC67F4D,2,1,True
4,511,512,0x00003FE0,0x00004000,58789,58791,2,1,0x4E21849F,0x9C43093F,0x3886127F,2,1,True
5,639,640,0x00004FE0,0x00005000,58918,58920,2,1,0x5DDDB0B7,0xBBBB616F,0x7776C2DF,2,1,True
6,767,768,0x00005FE0,0x00006000,59047,59049,2,1,0x2C391639,0x58722C73,0xB0E458E6,2,1,True
7,895,896,0x00006FE0,0x00007000,59176,59178,2,1,0x81690FF8,0x02D21FF0,0x05A43FE0,2,1,True
8,912,913,0x00007200,0x00007220,59194,59197,3,2,0x3FE09C3B,0x7FC13877,0xFF04E1DC,3,2,False
9,924,925,0x00007380,0x000073A0,59208,59211,3,2,0x270EE65C,0x4E1DCCB9,0x387732E7,3,2,False
10,937,938,0x00007520,0x00007540,59223,59226,3,2,0x732E79D6,0xE65CF3AC,0x9973CEB1,3,2,False
11,948,949,0x00007680,0x000076A0,59236,59239,3,2,0xCF3AC62B,0x9E758C57,0x79D6315C,3,2,False
12,961,962,0x00007820,0x00007840,59251,59254,3,2,0x6315CCD7,0xC62B99AE,0x18AE66B9,3,2,False
13,974,975,0x000079C0,0x000079E0,59266,59269,3,2,0xE66B93E4,0xCCD727C8,0x335C9F22,3,2,False
14,985,986,0x00007B20,0x00007B40,59279,59282,3,2,0x727C8B63,0xE4F916C6,0x93E45B19,3,2,False
15,999,1000,0x00007CE0,0x00007D00,59295,59298,3,2,0x8B632098,0x16C64130,0x5B1904C0,3,2,False
16,1012,1013,0x00007E80,0x00007EA0,59310,59313,3,2,0x904C0D8E,0x20981B1C,0x82606C73,3,2,False
17,1023,1024,0x00007FE0,0x00008000,59323,59325,2,1,0x81B1CF6A,0x03639ED5,0x06C73DAB,2,1,True
18,1024,1025,0x00008000,0x00008020,59325,59327,2,1,0x06C73DAB,0x0D8E7B56,0x1B1CF6AC,2,1,False
19,1034,1035,0x00008140,0x00008160,59336,59339,3,2,0x39ED58B8,0x73DAB170,0xCF6AC5C3,3,2,False
20,1048,1049,0x00008300,0x00008320,59352,59355,3,2,0x58B87B01,0xB170F603,0xC5C3D80D,3,2,False
21,1061,1062,0x000084A0,0x000084C0,59367,59370,3,2,0x3D80D649,0x7B01AC92,0xEC06B24A,3,2,False
22,1074,1075,0x00008640,0x00008660,59382,59385,3,2,0x6B24A1F7,0xD64943EF,0x59250FBC,3,2,False
23,1087,1088,0x000087E0,0x00008800,59397,59400,3,2,0x50FBC4C5,0xA1F7898A,0x87DE262B,3,2,False
24,1101,1102,0x000089A0,0x000089C0,59413,59416,3,2,0xC4C56B7E,0x898AD6FC,0x262B5BF1,3,2,False
25,1113,1114,0x00008B20,0x00008B40,59427,59430,3,2,0x5ADF8C7B,0xB5BF18F6,0xD6FC63DB,3,2,False
26,1124,1125,0x00008C80,0x00008CA0,59440,59443,3,2,0xF18F6E05,0xE31EDC0A,0x8C7B7028,3,2,False
27,1136,1137,0x00008E00,0x00008E20,59454,59457,3,2,0xDB8145D7,0xB7028BAE,0xDC0A2EBB,3,2,False
28,1149,1150,0x00008FA0,0x00008FC0,59469,59472,3,2,0xA2EBB701,0x45D76E02,0x175DB809,3,2,False
29,1151,1152,0x00008FE0,0x00009000,59473,59475,2,1,0x2EBB7013,0x5D76E027,0xBAEDC04E,2,1,True
30,1161,1162,0x00009120,0x00009140,59484,59487,3,2,0xDB809D1B,0xB7013A36,0xDC04E8DB,3,2,False
31,1174,1175,0x000092C0,0x000092E0,59499,59502,3,2,0x4E8DB7D9,0x9D1B6FB2,0x746DBECA,3,2,False
32,1187,1188,0x00009460,0x00009480,59514,59517,3,2,0xDBECAD8D,0xB7D95B1A,0xDF656C68,3,2,False
33,1200,1201,0x00009600,0x00009620,59529,59532,3,2,0x56C68F4A,0xAD8D1E95,0xB6347A55,3,2,False
34,1213,1214,0x000097A0,0x000097C0,59544,59547,3,2,0x47A55B64,0x8F4AB6C9,0x3D2ADB25,3,2,False
35,1225,1226,0x00009920,0x00009940,59558,59561,3,2,0x56D92E44,0xADB25C89,0xB6C97225,3,2,False
36,1238,1239,0x00009AC0,0x00009AE0,59573,59576,3,2,0x972257A2,0x2E44AF45,0xB912BD15,3,2,False
37,1253,1254,0x00009CA0,0x00009CC0,59590,59593,3,2,0xAF456D47,0x5E8ADA8E,0x7A2B6A39,3,2,False
38,1266,1267,0x00009E40,0x00009E60,59605,59608,3,2,0xB6A39F75,0x6D473EEA,0xB51CFBA8,3,2,False
39,1279,1280,0x00009FE0,0x0000A000,59620,59623,3,2,0xCFBA8603,0x9F750C06,0x7DD43019,3,2,True
40,1407,1408,0x0000AFE0,0x0000B000,59750,59752,2,1,0x398517BE,0x730A2F7C,0xE6145EF8,2,1,True
41,1489,1490,0x0000BA20,0x0000BA40,59833,59836,3,2,0x78750301,0xF0EA0602,0xC3A81808,3,2,False
42,1500,1501,0x0000BB80,0x0000BBA0,59846,59849,3,2,0xA06023FF,0x40C047FE,0x03011FF9,3,2,False
43,1513,1514,0x0000BD20,0x0000BD40,59861,59864,3,2,0x11FF9F74,0x23FF3EE9,0x8FFCFBA5,3,2,False
44,1526,1527,0x0000BEC0,0x0000BEE0,59876,59879,3,2,0xCFBA5E3F,0x9F74BC7E,0x7DD2F1F9,3,2,False
45,1535,1536,0x0000BFE0,0x0000C000,59887,59889,2,1,0xD2F1F980,0xA5E3F301,0x4BC7E603,2,1,True
46,1537,1538,0x0000C020,0x0000C040,59890,59893,3,2,0x978FCC06,0x2F1F980C,0xBC7E6031,3,2,False
47,1549,1550,0x0000C1A0,0x0000C1C0,59904,59907,3,2,0xF3018EF7,0xE6031DEE,0x980C77B8,3,2,False
48,1561,1562,0x0000C320,0x0000C340,59918,59921,3,2,0x63BDC5FD,0xC77B8BFB,0x1DEE2FED,3,2,False
49,1575,1576,0x0000C4E0,0x0000C500,59934,59937,3,2,0xC5FDAE13,0x8BFB5C26,0x2FED709A,3,2,False
50,1587,1588,0x0000C660,0x0000C680,59948,59951,3,2,0x6B84D5B9,0xD709AB72,0x5C26ADC8,3,2,False
51,1601,1602,0x0000C820,0x0000C840,59964,59967,3,2,0xD5B90AA4,0xAB721548,0xADC85521,3,2,False
52,1613,1614,0x0000C9A0,0x0000C9C0,59978,59981,3,2,0x42A909EA,0x855213D5,0x15484F55,3,2,False
53,1625,1626,0x0000CB20,0x0000CB40,59992,59995,3,2,0x427AAB22,0x84F55644,0x13D55912,3,2,False
54,1637,1638,0x0000CCA0,0x0000CCC0,60006,60009,3,2,0xAAC891D7,0x559123AF,0x56448EBC,3,2,False
55,1650,1651,0x0000CE40,0x0000CE60,60021,60024,3,2,0x48EBC1D6,0x91D783AD,0x475E0EB6,3,2,False
56,1661,1662,0x0000CFA0,0x0000CFC0,60034,60037,3,2,0x783AD9CB,0xF075B396,0xC1D6CE5A,3,2,False
57,1663,1664,0x0000CFE0,0x0000D000,60038,60040,2,1,0x83AD9CB4,0x075B3968,0x0EB672D1,2,1,True
58,1673,1674,0x0000D120,0x0000D140,60049,60052,3,2,0x6CE5A3DB,0xD9CB47B7,0x672D1EDE,3,2,False
59,1687,1688,0x0000D2E0,0x0000D300,60065,60068,3,2,0xA3DBCB5A,0x47B796B4,0x1EDE5AD2,3,2,False
60,1699,1700,0x0000D460,0x0000D480,60079,60082,3,2,0xF2D695CC,0xE5AD2B99,0x96B4AE65,3,2,False
61,1713,1714,0x0000D620,0x0000D640,60095,60098,3,2,0x95CCABF4,0x2B9957E9,0xAE655FA6,3,2,False
62,1725,1726,0x0000D7A0,0x0000D7C0,60109,60112,3,2,0x2AFD3234,0x55FA6469,0x57E991A5,3,2,False
63,1738,1739,0x0000D940,0x0000D960,60124,60127,3,2,0x991A5C2B,0x3234B857,0xC8D2E15F,3,2,False
64,1751,1752,0x0000DAE0,0x0000DB00,60139,60142,3,2,0x2E15FFAD,0x5C2BFF5A,0x70AFFD69,3,2,False
65,1765,1766,0x0000DCA0,0x0000DCC0,60155,60158,3,2,0xFFAD2DF4,0xFF5A5BE8,0xFD696FA2,3,2,False
66,1777,1778,0x0000DE20,0x0000DE40,60169,60172,3,2,0x4B7D10FB,0x96FA21F7,0x5BE887DC,3,2,False
67,1791,1792,0x0000DFE0,0x0000E000,60185,60188,3,2,0x10FB837F,0x21F706FF,0x87DC1BFF,3,2,True
68,1802,1803,0x0000E140,0x0000E160,60198,60201,3,2,0x706FFD65,0xE0DFFACB,0x837FEB2C,3,2,False
69,1816,1817,0x0000E300,0x0000E320,60214,60217,3,2,0xFD659222,0xFACB2444,0xEB2C9110,3,2,False
70,1828,1829,0x0000E480,0x0000E4A0,60228,60231,3,2,0x64888419,0xC9110832,0x244420C9,3,2,False
71,1841,1842,0x0000E620,0x0000E640,60243,60246,3,2,0x420C959E,0x84192B3C,0x1064ACF1,3,2,False
72,1855,1856,0x0000E7E0,0x0000E800,60259,60262,3,2,0x959E2B60,0x2B3C56C1,0xACF15B04,3,2,False
73,1867,1868,0x0000E960,0x0000E980,60273,60276,3,2,0x8AD822DF,0x15B045BF,0x56C116FE,3,2,False
74,1881,1882,0x0000EB20,0x0000EB40,60289,60292,3,2,0x22DFD618,0x45BFAC30,0x16FEB0C0,3,2,False
75,1894,1895,0x0000ECC0,0x0000ECE0,60304,60307,3,2,0xEB0C0030,0xD6180061,0x58600185,3,2,False
76,1907,1908,0x0000EE60,0x0000EE80,60319,60322,3,2,0x001854EC,0x0030A9D8,0x00C2A760,3,2,False
77,1919,1920,0x0000EFE0,0x0000F000,60333,60336,3,2,0x153B07FD,0x2A760FFA,0xA9D83FE8,3,2,True
78,2047,2048,0x0000FFE0,0x00010000,60463,60465,2,1,0x9504071C,0x2A080E38,0x54101C70,2,1,True
79,2123,2124,0x00010960,0x00010980,60540,60543,3,2,0x5F9EBFA3,0xBF3D7F46,0xFCF5FD19,3,2,False
80,2135,2136,0x00010AE0,0x00010B00,60554,60557,3,2,0xAFE8CFF1,0x5FD19FE3,0x7F467F8D,3,2,False
81,2150,2151,0x00010CC0,0x00010CE0,60571,60574,3,2,0x9FE36742,0x3FC6CE85,0xFF1B3A16,3,2,False
82,2162,2163,0x00010E40,0x00010E60,60585,60588,3,2,0xD9D0B693,0xB3A16D27,0xCE85B49C,3,2,False
83,2175,2176,0x00010FE0,0x00011000,60600,60603,3,2,0x5B49C518,0xB6938A31,0xDA4E28C4,3,2,True
84,2188,2189,0x00011180,0x000111A0,60615,60618,3,2,0xE28C4CDD,0xC51899BB,0x146266EE,3,2,False
85,2201,2202,0x00011320,0x00011340,60630,60633,3,2,0x266EE141,0x4CDDC283,0x33770A0E,3,2,False
86,2214,2215,0x000114C0,0x000114E0,60645,60648,3,2,0x70A0EFB5,0xE141DF6A,0x85077DAB,3,2,False
87,2226,2227,0x00011640,0x00011660,60659,60662,3,2,0x3BED58E6,0x77DAB1CD,0xDF6AC736,3,2,False
88,2240,2241,0x00011800,0x00011820,60675,60678,3,2,0x58E6DF01,0xB1CDBE03,0xC736F80F,3,2,False
89,2251,2252,0x00011960,0x00011980,60688,60691,3,2,0xDBE03C19,0xB7C07832,0xDF01E0C8,3,2,False
90,2264,2265,0x00011B00,0x00011B20,60703,60706,3,2,0x1E0C88F8,0x3C1911F0,0xF06447C2,3,2,False
91,2276,2277,0x00011C80,0x00011CA0,60717,60720,3,2,0x223E14DE,0x447C29BD,0x11F0A6F6,3,2,False
92,2289,2290,0x00011E20,0x00011E40,60732,60735,3,2,0x0A6F6B06,0x14DED60C,0x537B5832,3,2,False
93,2302,2303,0x00011FC0,0x00011FE0,60747,60750,3,2,0xB583234C,0x6B064699,0xAC191A66,3,2,False
94,2303,2304,0x00011FE0,0x00012000,60750,60752,2,1,0xAC191A66,0x583234CD,0xB064699A,2,1,True
95,2314,2315,0x00012140,0x00012160,60762,60765,3,2,0x91A6686F,0x234CD0DF,0x8D33437F,3,2,False
96,2328,2329,0x00012300,0x00012320,60778,60781,3,2,0x686FF6D8,0xD0DFEDB0,0x437FB6C1,3,2,False
97,2341,2342,0x000124A0,0x000124C0,60793,60796,3,2,0xFB6C1115,0xF6D8222B,0xDB6088AF,3,2,False
98,2354,2355,0x00012640,0x00012660,60808,60811,3,2,0x088AFB86,0x1115F70C,0x4457DC31,3,2,False
99,2367,2368,0x000127E0,0x00012800,60823,60826,3,2,0x7DC318FF,0xFB8631FF,0xEE18C7FC,3,2,False
100,2379,2380,0x00012960,0x00012980,60837,60840,3,2,0xC63FE51A,0x8C7FCA34,0x31FF28D2,3,2,False
101,2393,2394,0x00012B20,0x00012B40,60853,60856,3,2,0xE51A5F9D,0xCA34BF3B,0x28D2FCEE,3,2,False
102,2407,2408,0x00012CE0,0x00012D00,60869,60872,3,2,0x5F9DC759,0xBF3B8EB2,0xFCEE3AC9,3,2,False
103,2419,2420,0x00012E60,0x00012E80,60883,60886,3,2,0x71D64F14,0xE3AC9E28,0x8EB278A2,3,2,False
104,2431,2432,0x00012FE0,0x00013000,60897,60899,2,1,0x93C51745,0x278A2E8A,0x4F145D14,2,1,True
105,2432,2433,0x00013000,0x00013020,60899,60901,2,1,0x4F145D14,0x9E28BA29,0x3C517452,2,1,False
106,2444,2445,0x00013180,0x000131A0,60912,60915,3,2,0x8BA297C4,0x17452F89,0x5D14BE27,3,2,False
