error_number,current_index,next_index,current_byte_offset,next_byte_offset,counter_current,counter_next,counter_delta,counter_missing_samples,lfsr_current,lfsr_expected_next,lfsr_received,lfsr_steps_to_received,lfsr_missing_samples,next_sample_at_4096_boundary
1,127,128,0x00000FE0,0x00001000,61584,61586,2,1,0x974791E4,0x2E8F23C9,0x5D1E4793,2,1,True
2,255,256,0x00001FE0,0x00002000,61713,61715,2,1,0x9BA5E22B,0x374BC457,0x6E9788AF,2,1,True
3,383,384,0x00002FE0,0x00003000,61842,61844,2,1,0x6476575D,0xC8ECAEBB,0x91D95D77,2,1,True
4,511,512,0x00003FE0,0x00004000,61971,61973,2,1,0x532F1678,0xA65E2CF0,0x4CBC59E1,2,1,True
5,639,640,0x00004FE0,0x00005000,62100,62102,2,1,0x590B8C9A,0xB2171934,0x642E3269,2,1,True
6,767,768,0x00005FE0,0x00006000,62229,62231,2,1,0xDB121CD3,0xB62439A7,0x6C48734F,2,1,True
7,895,896,0x00006FE0,0x00007000,62358,62360,2,1,0x5F7B221F,0xBEF6443F,0x7DEC887F,2,1,True
8,911,912,0x000071E0,0x00007200,62375,62378,3,2,0x443FD95D,0x887FB2BB,0x21FECAEF,3,2,False
9,923,924,0x00007360,0x00007380,62389,62392,3,2,0xF6577EEB,0xECAEFDD6,0xB2BBF75A,3,2,False
10,937,938,0x00007520,0x00007540,62405,62408,3,2,0x7EEB4B78,0xFDD696F0,0xF75A5BC2,3,2,False
11,949,950,0x000076A0,0x000076C0,62419,62422,3,2,0xD2DE10BE,0xA5BC217D,0x96F085F7,3,2,False
12,962,963,0x00007840,0x00007860,62434,62437,3,2,0x085F70E4,0x10BEE1C9,0x42FB8726,3,2,False
13,976,977,0x00007A00,0x00007A20,62450,62453,3,2,0x70E4DDE5,0xE1C9BBCA,0x8726EF29,3,2,False
14,989,990,0x00007BA0,0x00007BC0,62465,62468,3,2,0x6EF29937,0xDDE5326E,0x7794C9BB,3,2,False
15,1005,1006,0x00007DA0,0x00007DC0,62483,62486,3,2,0x64DDF3CF,0xC9BBE79E,0x26EF9E7B,3,2,False
16,1018,1019,0x00007F40,0x00007F60,62498,62501,3,2,0xF9E7B775,0xF3CF6EEB,0xCF3DBBAF,3,2,False
17,1023,1024,0x00007FE0,0x00008000,62505,62507,2,1,0xF3DBBAF9,0xE7B775F3,0xCF6EEBE7,2,1,True
18,1026,1027,0x00008040,0x00008060,62509,62512,3,2,0x3DBBAF9F,0x7B775F3E,0xEDDD7CFB,3,2,False
19,1040,1041,0x00008200,0x00008220,62525,62528,3,2,0xAF9F7589,0x5F3EEB13,0x7CFBAC4E,3,2,False
20,1052,1053,0x00008380,0x000083A0,62539,62542,3,2,0xDD627798,0xBAC4EF30,0xEB13BCC2,3,2,False
21,1065,1066,0x00008520,0x00008540,62554,62557,3,2,0x3BCC2B04,0x77985609,0xDE615827,3,2,False
22,1078,1079,0x000086C0,0x000086E0,62569,62572,3,2,0x15827A3D,0x2B04F47B,0xAC13D1EC,3,2,False
23,1091,1092,0x00008860,0x00008880,62584,62587,3,2,0x3D1EC8E3,0x7A3D91C7,0xE8F6471F,3,2,False
24,1105,1106,0x00008A20,0x00008A40,62600,62603,3,2,0xC8E3F2AB,0x91C7E557,0x471F955E,3,2,False
25,1117,1118,0x00008BA0,0x00008BC0,62614,62617,3,2,0xFCAAF13D,0xF955E27B,0xE55789ED,3,2,False
26,1129,1130,0x00008D20,0x00008D40,62628,62631,3,2,0xBC4F6CED,0x789ED9DB,0xE27B676F,3,2,False
27,1139,1140,0x00008E60,0x00008E80,62640,62643,3,2,0xF6CEDE0D,0xED9DBC1B,0xB676F06F,3,2,False
28,1151,1152,0x00008FE0,0x00009000,62654,62657,3,2,0xB7837F06,0x6F06FE0C,0xBC1BF833,3,2,True
29,1163,1164,0x00009160,0x00009180,62668,62671,3,2,0xDFC19D24,0xBF833A48,0xFE0CE923,3,2,False
30,1176,1177,0x00009300,0x00009320,62683,62686,3,2,0xCE923930,0x9D247260,0x7491C982,3,2,False
31,1188,1189,0x00009480,0x000094A0,62697,62700,3,2,0x8E4C10AC,0x1C982158,0x72608561,3,2,False
32,1201,1202,0x00009620,0x00009640,62712,62715,3,2,0x085613A6,0x10AC274D,0x42B09D36,3,2,False
33,1215,1216,0x000097E0,0x00009800,62728,62731,3,2,0x13A6D65A,0x274DACB4,0x9D36B2D2,3,2,False
34,1227,1228,0x00009960,0x00009980,62742,62745,3,2,0xB5969490,0x6B2D2921,0xACB4A486,3,2,False
35,1241,1242,0x00009B20,0x00009B40,62758,62761,3,2,0x9490C175,0x292182EB,0xA4860BAE,3,2,False
36,1253,1254,0x00009CA0,0x00009CC0,62772,62775,3,2,0x305D7537,0x60BAEA6E,0x82EBA9B9,3,2,False
37,1265,1266,0x00009E20,0x00009E40,62786,62789,3,2,0x5D4DCBD1,0xBA9B97A2,0xEA6E5E8B,3,2,False
38,1275,1276,0x00009F60,0x00009F80,62798,62801,3,2,0xDCBD170F,0xB97A2E1F,0xE5E8B87F,3,2,False
39,1279,1280,0x00009FE0,0x0000A000,62804,62807,3,2,0x2F45C3F8,0x5E8B87F0,0x7A2E1FC1,3,2,True
40,1407,1408,0x0000AFE0,0x0000B000,62934,62936,2,1,0xC7FB6C6D,0x8FF6D8DB,0x1FEDB1B7,2,1,True
41,1494,1495,0x0000BAC0,0x0000BAE0,63022,63025,3,2,0xEA3EB1D3,0xD47D63A7,0x51F58E9E,3,2,False
42,1506,1507,0x0000BC40,0x0000BC60,63036,63039,3,2,0xAC74F1A2,0x58E9E345,0x63A78D17,3,2,False
43,1520,1521,0x0000BE00,0x0000BE20,63052,63055,3,2,0xF1A2F66B,0xE345ECD6,0x8D17B359,3,2,False
44,1531,1532,0x0000BF60,0x0000BF80,63065,63068,3,2,0x5ECD6664,0xBD9ACCC8,0xF66B3321,3,2,False
45,1535,1536,0x0000BFE0,0x0000C000,63071,63073,2,1,0xB359990B,0x66B33217,0xCD66642F,2,1,True
46,1543,1544,0x0000C0E0,0x0000C100,63080,63083,3,2,0xB33217B9,0x66642F73,0x9990BDCD,3,2,False
47,1555,1556,0x0000C260,0x0000C280,63094,63097,3,2,0x85EE6AF5,0x0BDCD5EB,0x2F7357AE,3,2,False
48,1569,1570,0x0000C420,0x0000C440,63110,63113,3,2,0x6AF5C0CA,0xD5EB8194,0x57AE0651,3,2,False
49,1581,1582,0x0000C5A0,0x0000C5C0,63124,63127,3,2,0x70328C81,0xE0651903,0x8194640E,3,2,False
50,1594,1595,0x0000C740,0x0000C760,63139,63142,3,2,0x4640EEB1,0x8C81DD62,0x32077589,3,2,False
51,1608,1609,0x0000C900,0x0000C920,63155,63158,3,2,0xEEB1385A,0xDD6270B4,0x7589C2D1,3,2,False
52,1621,1622,0x0000CAA0,0x0000CAC0,63170,63173,3,2,0x9C2D1583,0x385A2B07,0xE168AC1E,3,2,False
53,1633,1634,0x0000CC20,0x0000CC40,63184,63187,3,2,0x4560F736,0x8AC1EE6D,0x2B07B9B7,3,2,False
54,1647,1648,0x0000CDE0,0x0000CE00,63200,63203,3,2,0xF736E404,0xEE6DC808,0xB9B72023,3,2,False
55,1660,1661,0x0000CF80,0x0000CFA0,63215,63218,3,2,0x7202332F,0xE404665E,0x9011997A,3,2,False
56,1663,1664,0x0000CFE0,0x0000D000,63220,63222,2,1,0x404665E8,0x808CCBD1,0x011997A3,2,1,True
57,1674,1675,0x0000D140,0x0000D160,63232,63235,3,2,0x665E8D31,0xCCBD1A62,0x32F4698B,3,2,False
58,1688,1689,0x0000D300,0x0000D320,63248,63251,3,2,0x8D31607B,0x1A62C0F7,0x698B03DD,3,2,False
59,1701,1702,0x0000D4A0,0x0000D4C0,63263,63266,3,2,0xB03DDA26,0x607BB44C,0x81EED132,3,2,False
60,1714,1715,0x0000D640,0x0000D660,63278,63281,3,2,0xED132885,0xDA26510A,0x6899442A,3,2,False
61,1727,1728,0x0000D7E0,0x0000D800,63293,63296,3,2,0x9442AE7B,0x28855CF6,0xA21573D9,3,2,False
